source,field,code,official_description,project_class,primary_analysis,notes
fire,origine,BR,Brûlis total / total burn; ORIGINE denotes total disturbance in the official fire layer.,fire_total,True,Official fire-layer total/partial disturbance role documented in the disturbance-data audit.
fire,perturb,BRP,Brûlis partiel / partial burn; PERTURB denotes partial disturbance in the official fire layer.,fire_partial,False,Official fire-layer total/partial disturbance role documented in the disturbance-data audit.
forestry_intervention,origine,CT,Coupe totale,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CPR,Coupe avec protection de la régénération,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,P,Plantation,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,CPRS_U,Coupe avec protection de la régénération et des sols uniforme,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,PL,Plantation,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,PLR,Plantation avec semis en récipients,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,ENS,Ensemencement,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,RPS,Récupération en vertu d'un plan spécial d'aménagement,other_silviculture,False,Other treatment or non-primary intervention; requires pathway review if used later.
forestry_intervention,origine,PRR,Regarni de régénération pour constituer l'équivalent d'une plantation,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,RECUP_F-T,Coupe de récupération totale après feu,salvage_after_fire,False,Compound pathway: fire followed by total salvage logging; excluded from pure fire and pure harvest.
forestry_intervention,origine,CBA,Coupe par bandes,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CRR,Récolte des tiges résiduelles et des rebuts,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CBT,Coupe par bandes finale,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CPHRS,Coupe avec protection de la haute régénération et des sols,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,ETR,Élimination des tiges résiduelles,other_silviculture,False,Other treatment or non-primary intervention; requires pathway review if used later.
forestry_intervention,origine,PLN,Plantation à racines nues,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,ENM,Ensemencement avec mini-serres,reforestation,False,Regeneration/replanting treatment; not an initial harvest disturbance.
forestry_intervention,origine,REA,Régénération d'aire d'ébranchage,other_silviculture,False,Other treatment or non-primary intervention; requires pathway review if used later.
forestry_intervention,origine,RECUP_C-T,Coupe de récupération totale après chablis,other_silviculture,False,Other treatment or non-primary intervention; requires pathway review if used later.
forestry_intervention,origine,CPT,Coupe avec protection des petites tiges marchandes et des sols,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CPPTM_U,Coupe avec protection des petites tiges marchandes uniforme,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CPPTM_DIS,Coupe avec protection des petites tiges marchandes discontinue,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
forestry_intervention,origine,CRS,Coupe avec réserve de semencier,harvest_total,True,Official description denotes total/regeneration harvest or major canopy-removing harvest.
