geocode,area_ha,mrnf_biomass,mrnf_carbon,esa_biomass,scanfi_biomass,mrnf_class
"-809570,08+545175,90",3.154835742228977,96.5,48.0,167.36288998357963,86.27647123771669,75-100
"-809110,11+547146,09",1.7651119631237169,91.2,45.4,154.73004354136432,91.85353335965259,75-100
"-809120,29+545595,49",2.262292801711674,99.9,49.6,144.99264705882354,63.0257557063541,75-100
"-807393,37+545220,21",3.3597253974375736,103.7,51.6,101.26450116009282,71.36367410482612,100-125
"-809278,51+543190,22",0.9273207383749279,89.8,44.6,120.58217270194986,39.51734539969834,75-100
"-809770,84+546599,53",5.134624602299886,104.7,51.9,183.55837563451774,69.77543811982063,100-125
"-809441,89+544831,57",5.927984347983174,89.6,44.6,160.57824933687004,78.96573611519248,75-100
"-807081,24+546639,68",0.344702047319701,97.4,48.5,153.74074074074073,90.75809716599191,75-100
"-808929,53+545439,61",5.270887046226465,105.5,52.4,111.64412607449857,60.67607589079127,100-125
"-810123,23+543744,82",9.220662043130828,122.8,60.9,211.42571186918525,94.83082039073419,100-125
"-807690,56+543730,80",4.076968542192195,129.8,64.3,176.3240857503153,85.79832507263714,>=125
"-807948,09+544118,63",2.3232532831312236,93.7,46.6,127.3609865470852,72.81614888188503,75-100
"-807951,64+544810,91",4.729746814340339,101.8,50.8,168.69264544456644,70.31231098325587,100-125
"-808105,18+544400,37",3.29825327699215,94.6,47.0,102.77883096366511,58.22353811991113,75-100
"-809294,02+544053,12",4.95240242246116,92.6,46.1,176.90636507101527,42.41333145434045,75-100
"-809076,22+543739,23",1.4617306265747885,98.5,49.1,177.75992779783394,81.2900836320191,75-100
"-809075,01+546436,91",4.354874134540646,117.2,58.0,178.3941387559809,92.99238782051282,100-125
"-808285,03+544410,32",6.9646180926793795,121.8,60.3,178.60520446096655,79.760779207772,100-125
"-808550,18+546386,25",3.3863127867360068,98.2,48.9,151.69224865694557,80.66855320024692,75-100
"-806906,98+545617,32",0.5653351763696854,101.3,50.5,91.11415525114154,75.70853960396042,100-125
"-807680,67+546016,78",4.594959251394913,93.0,46.3,177.80498866213154,46.08039171031655,75-100
"-808175,64+547080,89",2.2326107276661755,55.6,27.7,52.89828571428572,59.38701622971284,50-75
"-808144,88+544860,25",3.2102943872308862,73.4,36.5,64.53290008123476,56.65920208718339,50-75
"-809590,35+544522,56",4.043815050394497,97.2,48.4,163.75684277530232,60.92429729263667,75-100
"-809491,54+543576,16",18.915127555553532,104.7,52.0,196.052264331646,71.73600338976806,100-125
"-808553,50+543348,84",5.7058604399351776,150.4,74.7,189.41711956521738,86.61681729360036,>=125
"-810056,87+543135,27",4.771291738546236,131.0,64.8,205.92457016084305,81.96155273509983,>=125
"-806944,56+547384,41",2.1487105661885453,104.7,51.7,141.7406513872135,39.09173567137522,100-125
"-806660,87+550426,05",7.570974280225359,105.6,52.4,182.31663258350375,76.63915485177678,100-125
"-807641,78+545406,92",5.377912318124105,104.6,51.7,127.37997125059893,56.05233123662537,100-125
"-807917,54+546259,12",7.1645287396932185,120.3,59.4,158.11375947995666,64.47790149268246,100-125
"-807997,48+546910,94",3.6926902476237156,45.7,23.3,63.52464788732396,48.514008112442205,<50
"-808359,85+545952,24",6.369644877917955,91.4,45.5,162.5700819672131,47.55257246178293,75-100
"-809246,46+547241,45",2.6342363728870106,99.5,49.6,197.43237907206316,47.041340930170925,75-100
"-809242,89+546221,69",5.834759667929774,125.0,61.8,191.47616926503338,85.44636781471976,>=125
"-809848,29+543724,45",5.2439936155656595,117.2,57.9,196.22117763483425,85.17469599308922,100-125
"-809780,46+544429,41",6.1567848878825995,118.2,58.5,100.38349954669086,67.04038461538462,100-125
"-808306,36+546506,47",4.494678590715281,116.0,57.8,176.22913068508927,81.7085789636984,100-125
"-808458,04+544341,55",6.361470805652758,95.9,47.8,152.2770297837617,79.66504163014898,75-100
"-809321,67+545714,52",2.484827175555351,99.7,49.6,146.84358706986444,83.61455260570307,75-100
"-807987,66+543624,49",8.63517060579616,103.6,51.4,174.86032510535827,74.9725263625712,100-125
"-808565,27+545684,74",8.276897689798112,100.5,50.0,157.5545769109783,70.67129805060839,100-125
"-807115,52+547480,41",5.175484791156646,112.4,55.6,186.11681772406848,32.06749292738783,100-125
"-807773,93+546510,30",3.4374501687260635,102.5,51.1,187.92787377911344,52.3511512323765,100-125
"-807748,43+546230,36",6.318548978341725,105.9,52.7,186.5536953858718,43.16985817559736,100-125
"-809127,91+548987,58",6.170277551287837,98.5,48.8,184.65058724832215,67.61082547036554,75-100
"-809470,10+547132,55",5.1558929241075,111.5,55.3,173.90345172586296,75.56016485372609,100-125
"-809977,20+546401,84",3.998246644804626,108.3,53.4,199.11435997400912,53.34624443862864,100-125
"-808740,24+546713,64",5.717839343134682,103.7,51.6,189.98951686417502,79.74177802184388,100-125
"-809601,88+542899,88",1.0531017763702284,96.7,47.8,160.2058823529412,51.08574345015312,75-100
"-806964,62+547218,94",2.9375878688449557,62.9,31.3,164.69982394366195,44.28873574144485,50-75
"-809122,37+546782,30",7.371461110721021,126.4,62.6,195.15360281195086,90.77406986651516,>=125
"-809687,70+544887,43",11.058622870711963,115.5,57.1,167.5689897100094,76.46930156328796,100-125
"-807620,16+543133,22",0.4571015635058597,85.7,42.7,154.15254237288136,73.96641221374045,75-100
"-809417,37+545377,12",5.115442158308515,108.3,53.4,157.56022267206478,58.463884539451314,100-125
"-806684,23+547965,19",2.6498888574574804,107.3,53.2,204.5401960784314,43.18023715415019,100-125
"-808580,09+545764,57",3.103525816211006,97.0,48.3,191.91275167785236,67.76636353429886,75-100
"-808232,83+546840,77",5.801777340704096,90.6,45.2,129.40329768270948,63.296634615384626,75-100
