sample_id,disturbance_type,disturbance_year,years_since_disturbance,lon,lat,NBR_2024,embedding_A00,embedding_A01,embedding_A02,embedding_A03,embedding_A04,embedding_A05,embedding_A06,embedding_A07,embedding_A08,embedding_A09,embedding_A10,embedding_A11,embedding_A12,embedding_A13,embedding_A14,embedding_A15,embedding_A16,embedding_A17,embedding_A18,embedding_A19,embedding_A20,embedding_A21,embedding_A22,embedding_A23,embedding_A24,embedding_A25,embedding_A26,embedding_A27,embedding_A28,embedding_A29,embedding_A30,embedding_A31,embedding_A32,embedding_A33,embedding_A34,embedding_A35,embedding_A36,embedding_A37,embedding_A38,embedding_A39,embedding_A40,embedding_A41,embedding_A42,embedding_A43,embedding_A44,embedding_A45,embedding_A46,embedding_A47,embedding_A48,embedding_A49,embedding_A50,embedding_A51,embedding_A52,embedding_A53,embedding_A54,embedding_A55,embedding_A56,embedding_A57,embedding_A58,embedding_A59,embedding_A60,embedding_A61,embedding_A62,embedding_A63,spatial_fold,std_A00,std_A01,std_A02,std_A03,std_A04,std_A05,std_A06,std_A07,std_A08,std_A09,std_A10,std_A11,std_A12,std_A13,std_A14,std_A15,std_A16,std_A17,std_A18,std_A19,std_A20,std_A21,std_A22,std_A23,std_A24,std_A25,std_A26,std_A27,std_A28,std_A29,std_A30,std_A31,std_A32,std_A33,std_A34,std_A35,std_A36,std_A37,std_A38,std_A39,std_A40,std_A41,std_A42,std_A43,std_A44,std_A45,std_A46,std_A47,std_A48,std_A49,std_A50,std_A51,std_A52,std_A53,std_A54,std_A55,std_A56,std_A57,std_A58,std_A59,std_A60,std_A61,std_A62,std_A63,PC1,PC2,PC3,x_m,y_m,B2,B3,B4,B8,B11,B12,pair_id,pair_distance_km,pair_midpoint_x_m,pair_midpoint_y_m,fold_5km,fold_10km
wildfire_2023_0188,wildfire,2023,1,-77.041630,48.752783,0.219415,0.103406,-0.172795,-0.007443,-0.214133,-0.062991,-0.098424,-0.048228,0.124567,0.032541,0.059116,0.172795,-0.055363,-0.041584,-0.093564,-0.267958,-0.192910,-0.051734,0.024606,-0.024606,0.044844,0.066990,-0.124567,-0.032541,-0.130165,0.002215,0.130165,-0.130165,0.141730,0.284444,-0.032541,0.141730,0.075356,0.103406,0.062991,-0.166336,0.062991,0.084214,-0.001538,0.062991,0.153787,-0.259900,-0.124567,-0.119093,0.199862,0.044844,0.108512,0.103406,-0.276140,0.135886,-0.179377,0.071111,-0.041584,0.000554,-0.012057,0.075356,0.172795,0.160000,0.075356,-0.010396,-0.059116,-0.172795,0.098424,0.147697,0.119093,4,1.478975,-1.832794,-0.321834,-0.951688,-0.602197,2.276171,0.622275,-0.148974,-0.180020,0.996442,1.588654,-0.115996,1.712257,-0.228593,-0.605877,-2.371989,-0.981392,0.536177,-0.394937,1.365569,0.460665,-1.128205,-0.199718,-1.070470,0.258484,-0.202199,-0.241186,2.452353,-1.242585,0.990533,0.782154,1.039914,0.427767,0.273174,-2.174896,-1.239178,-1.058268,-0.574948,1.356143,2.093365,-1.969909,-2.133407,1.581802,0.258446,-0.630989,-0.333920,0.158769,-0.848225,-0.280487,0.140481,-1.199256,0.755604,1.004431,-2.258144,0.701812,-0.145806,-0.390415,1.082093,0.054105,0.167847,0.575801,0.256011,0.963995,1.171210,3.739401,-5.632686,-1.923741,-623738.097006,565322.720381,0.029300,0.038600,0.031300,0.140150,0.128600,0.088050,pair_00000,1.404289,-623693.779712,566023.464993,4,4
probable_harvest_2023_0310,probable_harvest,2023,1,-77.042708,48.765449,0.043478,-0.003014,-0.153787,-0.041584,-0.186082,-0.066990,-0.147697,-0.098424,0.141730,0.108512,0.024606,0.206936,-0.071111,-0.015748,-0.103406,-0.244152,-0.108512,-0.059116,0.017778,-0.084214,-0.019931,0.062991,-0.113741,-0.055363,-0.098424,0.004983,0.119093,-0.113741,0.108512,0.301423,-0.084214,0.153787,0.103406,0.108512,0.055363,-0.135886,0.059116,0.003014,0.038447,0.103406,0.075356,-0.236463,-0.153787,-0.093564,0.172795,0.032541,0.153787,0.166336,-0.236463,0.103406,-0.172795,0.108512,-0.017778,-0.066990,0.051734,0.108512,0.199862,0.192910,0.029773,0.017778,-0.124567,-0.166336,0.062991,0.192910,0.108512,4,-1.642801,-1.320414,-0.860543,-0.548021,-0.725229,1.179805,-1.086015,0.053521,1.604150,-0.193789,2.038405,-0.399334,2.282039,-0.539945,-0.129686,-1.523268,-1.222475,0.438428,-1.309141,0.185402,0.355828,-0.902685,-0.719349,0.262299,0.302911,-0.429838,0.021102,1.762178,-0.794687,-0.198808,1.066632,1.823571,0.502357,0.112845,-1.181330,-1.301119,-2.203727,0.044109,1.910502,0.148103,-1.539186,-2.601403,2.158798,-0.493904,-0.849233,0.562242,1.432152,-0.015059,-0.859919,0.293784,-0.097155,1.311231,-1.036455,-0.201650,1.490848,0.578588,0.196787,0.001647,0.484434,-1.764158,0.858092,-0.730693,1.946795,0.914790,2.685164,-6.905273,-1.457351,-623649.462418,566724.209606,0.030900,0.041050,0.034900,0.128800,0.166600,0.126500,pair_00000,1.404289,-623693.779712,566023.464993,4,4
wildfire_2023_0326,wildfire,2023,1,-76.835466,48.832015,0.158360,0.041584,-0.108512,-0.044844,-0.214133,-0.041584,-0.186082,-0.048228,0.051734,0.013841,0.024606,0.024606,-0.084214,-0.119093,-0.098424,-0.284444,0.088827,-0.013841,-0.032541,-0.051734,-0.035433,-0.003937,-0.044844,-0.108512,-0.108512,-0.041584,0.108512,-0.041584,0.055363,0.393695,-0.160000,0.119093,0.038447,0.027128,0.027128,-0.084214,0.153787,0.088827,0.084214,-0.038447,0.044844,-0.135886,0.004983,-0.214133,0.192910,0.119093,0.179377,0.088827,-0.251965,0.103406,-0.206936,0.135886,-0.066990,-0.066990,0.066990,0.029773,0.206936,0.179377,-0.041584,0.024606,-0.108512,-0.199862,0.084214,0.166336,0.093564,2,-0.334542,-0.099986,-0.911987,-0.951688,0.056498,0.325707,0.622275,-1.008307,-0.619200,-0.193789,-0.363507,-0.635081,0.002912,-0.382323,-0.935643,0.461207,0.256165,-0.281922,-0.810999,-0.097031,-1.398977,0.532440,-1.929487,-0.161295,-0.444444,-0.647359,1.173401,0.657897,1.639544,-1.943174,0.248032,0.008786,-0.686578,-0.480630,0.504722,0.211994,-0.993185,0.752692,-0.035238,-0.608642,0.309192,-0.058458,-0.566292,0.065229,0.686114,1.068769,-0.136237,-0.340575,-0.859919,-0.501385,0.709482,0.162647,-1.036455,0.290163,-0.382930,0.767919,-0.044679,-1.689739,0.588728,-1.290236,-0.607134,-0.139698,1.369149,0.552522,-3.636412,-1.384684,-0.573633,-607733.040982,572258.205620,0.030400,0.046900,0.039200,0.176400,0.189000,0.133400,pair_00001,0.148191,-607786.523222,572309.486869,1,3
probable_harvest_2023_0172,probable_harvest,2023,1,-76.837083,48.832823,0.465309,0.022207,-0.179377,0.029773,-0.124567,-0.032541,-0.153787,-0.048228,0.103406,-0.027128,0.041584,0.108512,-0.075356,-0.141730,-0.108512,-0.292872,0.066990,-0.013841,-0.008858,-0.059116,0.022207,0.035433,-0.066990,-0.041584,-0.153787,-0.029773,0.108512,-0.084214,0.008858,0.318893,-0.084214,0.051734,0.007443,-0.002215,0.062991,-0.084214,0.186082,0.166336,-0.013841,-0.153787,0.051734,-0.160000,-0.000554,-0.199862,0.206936,0.044844,0.186082,0.172795,-0.292872,0.153787,-0.292872,0.141730,-0.032541,-0.038447,0.035433,0.071111,0.130165,0.199862,0.059116,0.032541,-0.019931,-0.166336,0.051734,0.108512,0.008858,2,-0.902958,-2.010220,0.265408,0.337212,0.334740,1.044299,0.622275,-0.398645,-1.581352,0.391780,0.741826,-0.475703,-0.496325,-0.701459,-1.104218,0.241604,0.256165,0.057118,-0.924213,0.953127,-0.366739,0.071150,-0.405609,-2.062298,-0.254890,-0.647359,0.492631,-0.308349,-0.333806,-0.198808,-1.341269,-0.857361,-1.115242,0.273174,0.504722,0.728163,0.100207,-0.765428,-1.617311,-0.437764,-0.133966,-0.147131,-0.243730,0.455083,-0.630989,1.201489,1.562851,-1.199576,0.038858,-2.502919,0.881685,0.966656,-0.174004,-0.727177,0.600803,-1.286727,0.320813,0.697157,0.709934,1.324507,0.858092,-1.044177,0.112236,-1.500330,-2.582495,0.043090,-1.609360,-607840.005463,572360.768118,0.032500,0.058350,0.043500,0.298900,0.188200,0.112900,pair_00001,0.148191,-607786.523222,572309.486869,1,3
wildfire_2023_0287,wildfire,2023,1,-76.994738,48.800484,0.279952,0.071111,-0.186082,-0.075356,-0.166336,-0.093564,-0.103406,-0.041584,0.153787,0.044844,-0.012057,0.179377,-0.059116,-0.048228,-0.098424,-0.153787,-0.119093,-0.062991,0.015748,-0.055363,0.062991,0.062991,-0.192910,-0.019931,-0.124567,0.017778,0.147697,-0.098424,0.035433,0.327812,-0.024606,0.160000,0.075356,0.147697,0.044844,-0.186082,0.108512,0.084214,0.002215,0.066990,0.084214,-0.284444,-0.071111,-0.160000,0.206936,0.062991,0.108512,0.147697,-0.244152,0.103406,-0.135886,0.079723,-0.084214,-0.062991,0.027128,0.153787,0.166336,0.153787,0.032541,0.024606,-0.071111,-0.179377,0.103406,0.192910,0.062991,1,0.531616,-2.190963,-1.393429,-0.263862,-1.542919,2.165303,0.848372,0.195775,0.108914,-1.458277,1.675363,-0.183510,1.565742,-0.382323,1.677875,-1.629667,-1.349043,0.409367,-0.866662,1.696196,0.355828,-2.551798,0.087410,-0.835428,0.508261,0.158229,0.265708,0.243791,-0.098497,1.173182,1.213225,1.039914,1.074807,-0.108254,-2.819209,-0.511626,-1.058268,-0.516852,1.410989,0.367803,-2.420981,-1.277219,0.657218,0.455083,-0.309079,-0.333920,1.054991,-0.176525,-0.859919,1.153426,-0.945483,-0.239357,-0.915638,-0.994898,2.568270,-0.318673,-0.501270,0.067261,0.588728,-0.186233,0.288133,0.394766,1.946795,-0.188413,3.952181,-4.345322,-1.032354,-619704.702959,570158.144355,0.032850,0.047000,0.032700,0.172950,0.144200,0.089250,pair_00002,0.950322,-619430.227282,570546.011712,0,0
probable_harvest_2023_0204,probable_harvest,2023,1,-76.988539,48.808030,-0.044183,0.007443,-0.166336,-0.075356,-0.236463,-0.010396,-0.214133,-0.093564,0.088827,0.066990,0.075356,0.084214,-0.113741,-0.059116,-0.119093,-0.301423,-0.044844,-0.035433,0.088827,-0.066990,0.007443,0.019931,-0.044844,-0.059116,-0.130165,-0.059116,0.130165,-0.113741,0.088827,0.346021,-0.153787,0.141730,0.048228,0.051734,0.059116,-0.108512,0.071111,0.044844,0.113741,0.093564,0.093564,-0.147697,-0.084214,-0.160000,0.199862,0.084214,0.153787,0.135886,-0.236463,0.084214,-0.214133,0.119093,0.022207,-0.015748,0.075356,0.041584,0.179377,0.153787,0.024606,0.066990,-0.088827,-0.179377,0.088827,0.141730,0.084214,1,-1.336037,-1.658684,-1.393429,-1.273027,1.016148,-0.298442,-0.920629,-0.570657,0.628996,1.556551,0.421733,-1.166340,1.325619,-1.036163,-1.275253,-0.883015,-0.449002,1.455547,-1.044975,0.684143,-0.773183,0.532440,-0.804787,-1.070470,-0.725813,-0.202199,0.021102,1.353185,0.381858,-1.800170,0.782154,0.282035,-0.327112,0.191717,-0.288124,-1.109399,-1.613642,1.209842,1.775498,0.599709,0.092135,-1.487079,0.657218,0.258446,0.067392,0.562242,0.815999,-0.015059,-1.202310,-0.669015,0.214624,2.244455,0.511867,0.559867,-0.101863,0.030354,-0.501270,-0.120832,1.236102,-0.709182,0.288133,-0.011221,0.834292,0.325918,-1.992999,-6.277246,0.321716,-619155.751605,570933.879068,0.031700,0.036500,0.038200,0.089350,0.173050,0.128800,pair_00002,0.950322,-619430.227282,570546.011712,0,0
wildfire_2023_0289,wildfire,2023,1,-76.848133,48.857078,0.247322,0.017778,-0.119093,-0.024606,-0.130165,-0.015748,-0.259900,-0.098424,0.130165,0.130165,0.017778,0.012057,-0.029773,-0.153787,-0.088827,-0.301423,0.007443,-0.017778,0.059116,-0.032541,-0.075356,0.048228,-0.059116,-0.019931,-0.124567,-0.022207,0.166336,-0.153787,0.066990,0.383914,-0.119093,0.153787,0.024606,0.071111,0.062991,-0.103406,0.098424,0.103406,0.119093,0.071111,0.079723,-0.153787,-0.013841,-0.192910,0.199862,0.093564,0.119093,0.055363,-0.214133,0.088827,-0.179377,0.135886,-0.013841,-0.019931,0.098424,0.071111,0.199862,0.135886,0.022207,0.035433,-0.103406,-0.192910,0.093564,0.130165,0.084214,0,-1.032882,-0.385195,-0.592644,0.256655,0.851475,-1.316790,-1.086015,-0.082927,2.112675,-0.429289,-0.528821,0.344428,-0.762223,-0.078755,-1.275253,-0.357203,0.127587,1.030206,-0.516642,-0.824408,-0.031261,0.235164,0.087410,-0.835428,-0.133458,0.541421,-0.618409,0.899458,1.381516,-1.001612,1.066632,-0.377887,-0.044032,0.273174,-0.121526,-0.672867,-0.787523,1.292701,1.467521,0.256427,-0.019785,-0.359946,-0.086621,0.258446,0.233257,-0.124491,-0.813383,0.453839,-1.120005,0.140481,0.709482,1.403117,0.385473,1.303537,0.600803,0.578588,-0.820665,-0.177698,0.754095,-1.139525,-0.303335,0.120682,0.582910,0.325918,-0.370724,-2.752360,2.714850,-608329.501866,575121.112211,0.030150,0.047100,0.034200,0.194650,0.172600,0.114200,pair_00003,0.531040,-608280.811856,574860.094916,1,3
probable_harvest_2023_0309,probable_harvest,2023,1,-76.845977,48.852496,0.449617,0.008858,-0.084214,-0.048228,-0.141730,0.075356,-0.267958,-0.093564,0.108512,0.048228,0.084214,-0.093564,-0.003937,-0.192910,-0.119093,-0.276140,0.251965,0.000554,0.002215,-0.124567,0.075356,0.038447,0.019931,-0.066990,-0.088827,-0.017778,0.012057,-0.051734,0.017778,0.301423,-0.066990,0.093564,0.062991,-0.035433,0.059116,-0.059116,0.186082,0.093564,0.079723,-0.055363,0.079723,-0.062991,0.153787,-0.236463,0.119093,0.192910,0.214133,0.172795,-0.327812,-0.022207,-0.186082,0.153787,-0.048228,-0.088827,0.027128,0.012057,0.079723,0.044844,-0.055363,0.071111,-0.079723,-0.199862,0.059116,0.001538,-0.001538,0,-1.294533,0.554998,-0.965373,0.090232,3.654713,-1.496096,-0.920629,-0.338404,0.188371,1.862065,-1.920212,0.809280,-1.625035,-1.036163,-0.769530,2.101740,0.726276,0.215630,-1.928045,1.921470,-0.287708,1.881713,-0.984067,0.665229,-0.062375,-2.630345,1.011313,-0.123024,-0.794687,0.197639,-0.354306,0.694486,-1.600522,0.191717,1.323661,0.728163,-0.926367,0.683167,-0.267275,0.256427,1.648842,2.324877,-1.070990,-1.986635,1.995578,1.756720,1.562851,-1.933279,-3.100826,-0.015687,1.236968,0.600545,-1.696305,-0.994898,-0.804530,-2.636735,-2.445076,-2.016351,1.299054,-0.440444,-0.607134,-0.838614,-2.213055,-1.752277,-8.102544,-0.686136,-1.194948,-608232.121846,574599.077622,0.036900,0.067200,0.042100,0.358800,0.232700,0.133000,pair_00003,0.531040,-608280.811856,574860.094916,1,3
wildfire_2023_0204,wildfire,2023,1,-77.044594,48.820965,0.213465,0.027128,-0.160000,-0.088827,-0.166336,-0.071111,-0.228897,-0.066990,0.147697,0.088827,0.024606,0.141730,-0.075356,-0.032541,-0.130165,-0.251965,-0.088827,-0.048228,0.032541,-0.135886,0.012057,0.008858,-0.147697,-0.038447,-0.108512,-0.032541,0.172795,-0.147697,0.084214,0.336855,-0.098424,0.141730,0.108512,0.108512,0.027128,-0.119093,0.010396,-0.001538,0.113741,0.084214,0.055363,-0.172795,-0.084214,-0.172795,0.160000,0.084214,0.108512,0.141730,-0.259900,0.108512,-0.135886,0.093564,0.019931,-0.041584,0.079723,0.093564,0.172795,0.179377,0.001538,0.088827,-0.093564,-0.186082,0.048228,0.166336,0.124567,0,-0.758598,-1.487891,-1.606001,-0.263862,-0.852047,-0.626941,-0.016240,0.123922,1.141855,-0.193789,1.179422,-0.475703,1.911680,-1.386434,-0.285955,-1.325315,-0.866878,0.649777,-2.101640,0.768201,-1.063500,-1.609997,-0.334178,-0.161295,-0.299317,0.674210,-0.521156,1.257327,0.140058,-0.525876,0.782154,1.966210,0.502357,-0.480630,-0.633363,-2.079797,-2.267942,1.209842,1.647245,-0.347748,-0.369112,-1.487079,0.368024,-0.849560,0.067392,-0.333920,0.934250,-0.507208,-0.768834,1.153426,-0.537633,2.191333,-0.268800,0.700669,1.135123,-0.145806,-0.044679,-0.667617,1.569654,-0.848998,-0.004913,-1.141819,1.369149,1.303892,0.604945,-5.797594,-0.844084,-623054.476294,572842.041292,0.034600,0.048100,0.040750,0.176900,0.176050,0.123250,pair_00004,0.066189,-623023.377704,572853.360450,2,2
probable_harvest_2023_0019,probable_harvest,2023,1,-77.043786,48.821235,-0.102980,-0.010396,-0.153787,-0.108512,-0.147697,-0.079723,-0.221453,-0.103406,0.093564,0.108512,-0.000984,0.135886,-0.103406,-0.017778,-0.141730,-0.259900,-0.119093,-0.048228,0.098424,-0.135886,-0.035433,0.003937,-0.108512,-0.062991,-0.071111,-0.032541,0.179377,-0.141730,0.088827,0.346021,-0.093564,0.192910,0.059116,0.124567,0.055363,-0.135886,-0.003937,0.017778,0.147697,0.130165,0.029773,-0.153787,-0.098424,-0.130165,0.166336,0.084214,0.119093,0.119093,-0.192910,0.108512,-0.119093,0.055363,-0.010396,-0.035433,0.079723,0.130165,0.172795,0.192910,0.010396,0.035433,-0.113741,-0.153787,0.066990,0.172795,0.147697,0,-1.859340,-1.320414,-1.916608,0.004364,-1.117039,-0.461323,-1.255588,-0.514771,1.604150,-1.076384,1.102437,-0.980399,2.237270,-1.752272,-0.444686,-1.629667,-0.866878,1.592925,-2.101640,-0.097031,-1.192530,-0.793770,-0.893026,1.409100,-0.299317,0.809529,-0.425868,1.353185,0.381858,-0.414022,1.989733,0.586218,0.736909,0.112845,-1.181330,-2.308877,-1.995462,1.735565,2.277543,-0.982438,-0.019785,-1.714673,1.331538,-0.673442,0.067392,-0.124491,0.476181,0.899486,-0.768834,1.544563,-1.663299,1.483518,-0.082927,0.700669,2.006137,-0.145806,0.196787,-0.457651,0.754095,-1.444578,1.406544,-0.619346,1.509549,1.864438,1.431879,-7.146404,0.147978,-622992.279114,572864.679609,0.035950,0.037450,0.040250,0.094850,0.167950,0.125850,pair_00004,0.066189,-623023.377704,572853.360450,2,2
