pair_id,fire_lon,fire_lat,harvest_lon,harvest_lat,pair_distance_km,fire_distance_to_aoi_boundary_m,harvest_distance_to_aoi_boundary_m,fire_distance_to_nbac_fire_edge_m,fire_inside_nbac_2005
pair_00248,-77.021687,48.795094,-77.022226,48.792129,0.330559,2454.810970,2376.678582,227.288055,True
pair_00249,-77.030581,48.831206,-77.027077,48.831745,0.262914,1431.903539,1403.112179,108.869611,True
pair_00250,-77.008212,48.811803,-77.007673,48.811803,0.039404,3652.673903,3691.799710,25.434987,True
pair_00251,-77.016028,48.809647,-77.015758,48.809108,0.062842,3056.984173,3069.500920,3.095976,True
pair_00252,-77.016836,48.829859,-77.016836,48.830128,0.029775,1699.301227,1669.737052,7.351442,False
pair_00253,-77.017645,48.791860,-77.021148,48.791590,0.257935,2705.807589,2447.873290,40.871779,True
pair_00254,-77.014411,48.805874,-77.009290,48.803987,0.428748,3124.791649,3471.788577,144.495581,True
pair_00255,-77.029233,48.832554,-77.027616,48.832015,0.132368,1295.470391,1368.756261,79.436471,True
pair_00256,-77.030042,48.831206,-77.027616,48.831745,0.187050,1436.587647,1398.429744,80.033316,True
pair_00257,-77.029233,48.782697,-77.027616,48.783506,0.148359,1743.700872,1871.792799,92.991951,True
pair_00258,-77.027347,48.794016,-77.023574,48.789704,0.551328,2029.634241,2246.892415,192.444495,True
pair_00259,-77.013872,48.803987,-77.013063,48.804257,0.066273,3139.129938,3201.411129,41.095434,True
pair_00260,-77.018723,48.795094,-77.021687,48.791321,0.470544,2670.038271,2405.194139,236.757728,True
pair_00261,-77.026808,48.790512,-77.025191,48.789165,0.190311,2022.666568,2122.372287,37.822634,True
pair_00262,-76.964554,48.845220,-76.964824,48.846298,0.120938,463.195357,342.382875,56.683069,True
pair_00263,-77.018992,48.794824,-77.021687,48.791590,0.408649,2646.955605,2408.731630,218.655325,True
pair_00264,-77.013602,48.805065,-77.012794,48.804796,0.066157,3172.894863,3228.021361,38.703905,True
pair_00265,-77.020340,48.793477,-77.021418,48.792668,0.119309,2531.360640,2442.441955,48.923336,True
pair_00266,-77.031389,48.832554,-77.027077,48.832015,0.320693,1276.734492,1373.438669,155.386276,True
pair_00267,-77.008212,48.811533,-77.007404,48.811803,0.066200,3649.128928,3711.326332,24.534795,True
pair_00268,-77.009560,48.807491,-77.008751,48.804526,0.333483,3498.199633,3517.998108,142.159821,True
pair_00269,-77.016836,48.791860,-77.021148,48.791321,0.320961,2764.556462,2444.336021,20.791507,True
pair_00270,-77.023843,48.794016,-77.023035,48.792129,0.217073,2284.076503,2317.930572,84.279241,True
pair_00271,-77.050254,48.799945,-77.049984,48.799945,0.019743,444.512895,464.115627,8.217817,False
pair_00272,-77.027886,48.793207,-77.023304,48.789973,0.490356,1979.848545,2270.038435,203.569343,True
pair_00273,-77.043786,48.788356,-77.043786,48.788087,0.029776,761.315368,757.768734,7.030585,False
pair_00274,-77.012794,48.824469,-77.013063,48.825008,0.062816,2326.753561,2265.181292,33.815668,True
pair_00275,-77.026538,48.792399,-77.022496,48.792129,0.297122,2067.103079,2357.071697,109.976274,True
