years_since_disturbance,disturbance_year,interior_buffer_m,model,n_matched_pairs,spatial_block_km,valid_folds,balanced_accuracy,roc_auc,precision,recall
1,2023,60,NBR,263,5,4,0.606464,0.635104,0.596552,0.657795
1,2023,60,Sentinel-2,263,5,4,0.602662,0.643475,0.585443,0.703422
1,2023,60,AlphaEarth,263,5,4,0.576046,0.662876,0.549261,0.847909
1,2023,90,NBR,260,5,4,0.565385,0.591842,0.559859,0.611538
1,2023,90,Sentinel-2,260,5,4,0.611538,0.646694,0.591772,0.719231
1,2023,90,AlphaEarth,260,5,4,0.607692,0.716309,0.573298,0.842308
1,2023,150,NBR,263,5,4,0.585551,0.617184,0.575758,0.650190
1,2023,150,Sentinel-2,263,5,4,0.633080,0.686623,0.611465,0.730038
1,2023,150,AlphaEarth,263,5,4,0.585551,0.704022,0.553444,0.885932
12,2012,60,NBR,78,5,5,0.410256,0.386506,0.414634,0.435897
12,2012,60,Sentinel-2,78,5,5,0.775641,0.867275,0.736264,0.858974
12,2012,60,AlphaEarth,78,5,5,0.858974,0.922666,0.811111,0.935897
12,2012,90,NBR,75,5,5,0.360000,0.378844,0.338462,0.293333
12,2012,90,Sentinel-2,75,5,5,0.786667,0.868622,0.759036,0.840000
12,2012,90,AlphaEarth,75,5,5,0.746667,0.838044,0.698925,0.866667
12,2012,150,NBR,76,5,5,0.401316,0.413089,0.402597,0.407895
12,2012,150,Sentinel-2,76,5,5,0.809211,0.902181,0.783133,0.855263
12,2012,150,AlphaEarth,76,5,5,0.776316,0.859765,0.733333,0.868421
19,2005,60,NBR,222,5,4,0.403153,0.353959,0.428571,0.581081
19,2005,60,Sentinel-2,222,5,4,0.486486,0.429947,0.491667,0.797297
19,2005,60,AlphaEarth,222,5,4,0.644144,0.730308,0.612676,0.783784
19,2005,90,NBR,222,5,4,0.434685,0.380306,0.455385,0.666667
19,2005,90,Sentinel-2,222,5,4,0.481982,0.472689,0.487805,0.720721
19,2005,90,AlphaEarth,222,5,4,0.637387,0.736426,0.610909,0.756757
19,2005,150,NBR,222,5,4,0.416667,0.366143,0.440129,0.612613
19,2005,150,Sentinel-2,222,5,4,0.461712,0.471532,0.471380,0.630631
19,2005,150,AlphaEarth,222,5,4,0.551802,0.665530,0.538206,0.729730
