years_since_disturbance,n_fire_events,n_harvest_events,n_complete_fire_harvest_pairs,n_fire_event_years,n_harvest_event_years
0,49,52,41,49,52
1,51,58,46,51,58
2,46,48,36,46,48
3,46,43,38,46,43
4,50,42,41,50,42
5,41,38,31,41,38
6,39,36,29,39,36
7,42,41,36,42,41
8,42,41,37,42,41
9,34,43,32,34,43
10,33,36,28,33,36
11,36,38,32,36,38
12,43,37,36,43,37
13,38,37,33,38,37
14,32,33,27,32,33
15,33,31,29,33,31
16,20,23,18,20,23
17,20,22,18,20,22
18,17,19,14,17,19
19,11,13,10,11,13
20,9,12,9,9,12
21,3,3,3,3,3
22,3,3,3,3,3
23,1,1,1,1,1
