product,disturbance_type,years_since_disturbance,n_unique_events,n_event_years,n_sites,n_complete_fire_harvest_pairs
sentinel2,fire_total,-6,13,13,76,10
sentinel2,fire_total,-5,13,13,85,13
sentinel2,fire_total,-4,16,16,97,15
sentinel2,fire_total,-3,17,17,98,17
sentinel2,fire_total,-2,18,18,100,18
sentinel2,fire_total,-1,20,20,112,20
sentinel2,fire_total,0,20,20,112,20
sentinel2,fire_total,1,21,21,119,21
sentinel2,fire_total,2,23,23,121,23
sentinel2,fire_total,3,11,11,38,11
sentinel2,fire_total,4,11,11,38,11
sentinel2,fire_total,5,17,17,75,17
sentinel2,fire_total,6,18,18,77,18
sentinel2,fire_total,7,28,28,101,27
sentinel2,fire_total,8,31,31,126,31
sentinel2,fire_total,9,32,32,128,32
sentinel2,fire_total,10,37,37,154,37
sentinel2,fire_total,11,41,41,169,41
sentinel2,fire_total,12,49,49,229,49
sentinel2,fire_total,13,48,48,237,48
sentinel2,fire_total,14,40,40,199,40
sentinel2,fire_total,15,38,38,197,38
sentinel2,fire_total,16,29,29,171,29
sentinel2,fire_total,17,25,25,144,25
sentinel2,fire_total,18,24,24,142,24
sentinel2,fire_total,19,14,14,99,14
sentinel2,fire_total,20,12,12,92,12
sentinel2,fire_total,21,3,3,21,3
sentinel2,fire_total,22,3,3,21,3
sentinel2,fire_total,23,1,1,7,1
sentinel2,harvest_total,-6,10,10,14,10
sentinel2,harvest_total,-5,13,13,19,13
sentinel2,harvest_total,-4,15,15,38,15
sentinel2,harvest_total,-3,17,17,48,17
sentinel2,harvest_total,-2,18,18,49,18
sentinel2,harvest_total,-1,20,20,62,20
sentinel2,harvest_total,0,20,20,62,20
sentinel2,harvest_total,1,22,22,70,21
sentinel2,harvest_total,2,23,23,72,23
sentinel2,harvest_total,3,11,11,61,11
sentinel2,harvest_total,4,11,11,61,11
sentinel2,harvest_total,5,18,18,71,17
sentinel2,harvest_total,6,19,19,68,18
sentinel2,harvest_total,7,27,27,81,27
sentinel2,harvest_total,8,31,31,85,31
sentinel2,harvest_total,9,32,32,86,32
sentinel2,harvest_total,10,37,37,104,37
sentinel2,harvest_total,11,41,41,111,41
sentinel2,harvest_total,12,49,49,132,49
sentinel2,harvest_total,13,48,48,131,48
sentinel2,harvest_total,14,40,40,108,40
sentinel2,harvest_total,15,38,38,106,38
sentinel2,harvest_total,16,29,29,85,29
sentinel2,harvest_total,17,25,25,78,25
sentinel2,harvest_total,18,24,24,77,24
sentinel2,harvest_total,19,14,14,46,14
sentinel2,harvest_total,20,12,12,42,12
sentinel2,harvest_total,21,3,3,13,3
sentinel2,harvest_total,22,3,3,13,3
sentinel2,harvest_total,23,1,1,2,1
alphaearth,fire_total,-6,13,13,85,13
alphaearth,fire_total,-5,13,13,85,13
alphaearth,fire_total,-4,16,16,97,16
alphaearth,fire_total,-3,18,18,100,18
alphaearth,fire_total,-2,18,18,100,18
alphaearth,fire_total,-1,20,20,112,20
alphaearth,fire_total,0,20,20,112,20
alphaearth,fire_total,1,23,23,121,23
alphaearth,fire_total,2,23,23,121,23
alphaearth,fire_total,3,11,11,38,11
alphaearth,fire_total,4,12,12,39,12
alphaearth,fire_total,5,19,19,79,19
alphaearth,fire_total,6,19,19,78,19
alphaearth,fire_total,7,29,29,111,29
alphaearth,fire_total,8,31,31,126,31
alphaearth,fire_total,9,32,32,128,32
alphaearth,fire_total,10,39,39,162,39
alphaearth,fire_total,11,41,41,169,41
alphaearth,fire_total,12,49,49,238,49
alphaearth,fire_total,13,48,48,237,48
alphaearth,fire_total,14,40,40,199,40
alphaearth,fire_total,15,39,39,204,39
alphaearth,fire_total,16,29,29,171,29
alphaearth,fire_total,17,25,25,144,25
alphaearth,fire_total,18,24,24,142,24
alphaearth,fire_total,19,14,14,99,14
alphaearth,fire_total,20,12,12,92,12
alphaearth,fire_total,21,3,3,21,3
alphaearth,fire_total,22,3,3,21,3
alphaearth,fire_total,23,1,1,7,1
alphaearth,harvest_total,-6,13,13,19,13
alphaearth,harvest_total,-5,13,13,19,13
alphaearth,harvest_total,-4,16,16,42,16
alphaearth,harvest_total,-3,18,18,49,18
alphaearth,harvest_total,-2,18,18,49,18
alphaearth,harvest_total,-1,20,20,62,20
alphaearth,harvest_total,0,20,20,62,20
alphaearth,harvest_total,1,23,23,72,23
alphaearth,harvest_total,2,23,23,72,23
alphaearth,harvest_total,3,11,11,61,11
alphaearth,harvest_total,4,12,12,62,12
alphaearth,harvest_total,5,19,19,73,19
alphaearth,harvest_total,6,19,19,68,19
alphaearth,harvest_total,7,29,29,91,29
alphaearth,harvest_total,8,31,31,85,31
alphaearth,harvest_total,9,32,32,86,32
alphaearth,harvest_total,10,39,39,107,39
alphaearth,harvest_total,11,41,41,111,41
alphaearth,harvest_total,12,49,49,132,49
alphaearth,harvest_total,13,48,48,131,48
alphaearth,harvest_total,14,40,40,108,40
alphaearth,harvest_total,15,39,39,108,39
alphaearth,harvest_total,16,29,29,85,29
alphaearth,harvest_total,17,25,25,78,25
alphaearth,harvest_total,18,24,24,77,24
alphaearth,harvest_total,19,14,14,46,14
alphaearth,harvest_total,20,12,12,42,12
alphaearth,harvest_total,21,3,3,13,3
alphaearth,harvest_total,22,3,3,13,3
alphaearth,harvest_total,23,1,1,2,1
both,fire_total,-6,13,13,76,10
both,fire_total,-5,13,13,85,13
both,fire_total,-4,16,16,97,15
both,fire_total,-3,17,17,98,17
both,fire_total,-2,18,18,100,18
both,fire_total,-1,20,20,112,20
both,fire_total,0,20,20,112,20
both,fire_total,1,21,21,119,21
both,fire_total,2,23,23,121,23
both,fire_total,3,11,11,38,11
both,fire_total,4,11,11,38,11
both,fire_total,5,17,17,75,17
both,fire_total,6,18,18,77,18
both,fire_total,7,28,28,101,27
both,fire_total,8,31,31,126,31
both,fire_total,9,32,32,128,32
both,fire_total,10,37,37,154,37
both,fire_total,11,41,41,169,41
both,fire_total,12,49,49,229,49
both,fire_total,13,48,48,237,48
both,fire_total,14,40,40,199,40
both,fire_total,15,38,38,197,38
both,fire_total,16,29,29,171,29
both,fire_total,17,25,25,144,25
both,fire_total,18,24,24,142,24
both,fire_total,19,14,14,99,14
both,fire_total,20,12,12,92,12
both,fire_total,21,3,3,21,3
both,fire_total,22,3,3,21,3
both,fire_total,23,1,1,7,1
both,harvest_total,-6,10,10,14,10
both,harvest_total,-5,13,13,19,13
both,harvest_total,-4,15,15,38,15
both,harvest_total,-3,17,17,48,17
both,harvest_total,-2,18,18,49,18
both,harvest_total,-1,20,20,62,20
both,harvest_total,0,20,20,62,20
both,harvest_total,1,22,22,70,21
both,harvest_total,2,23,23,72,23
both,harvest_total,3,11,11,61,11
both,harvest_total,4,11,11,61,11
both,harvest_total,5,18,18,71,17
both,harvest_total,6,19,19,68,18
both,harvest_total,7,27,27,81,27
both,harvest_total,8,31,31,85,31
both,harvest_total,9,32,32,86,32
both,harvest_total,10,37,37,104,37
both,harvest_total,11,41,41,111,41
both,harvest_total,12,49,49,132,49
both,harvest_total,13,48,48,131,48
both,harvest_total,14,40,40,108,40
both,harvest_total,15,38,38,106,38
both,harvest_total,16,29,29,85,29
both,harvest_total,17,25,25,78,25
both,harvest_total,18,24,24,77,24
both,harvest_total,19,14,14,46,14
both,harvest_total,20,12,12,42,12
both,harvest_total,21,3,3,13,3
both,harvest_total,22,3,3,13,3
both,harvest_total,23,1,1,2,1
