product,disturbance_type,age_bin,n_unique_events,n_event_years,n_sites,max_complete_fire_harvest_pairs
alphaearth,fire_total,pre_disturbance,20,98,112,20
alphaearth,fire_total,0-5,23,108,121,23
alphaearth,fire_total,6-10,39,150,162,39
alphaearth,fire_total,11-15,49,217,238,49
alphaearth,fire_total,16-20,29,104,171,29
alphaearth,fire_total,21+,3,7,21,3
alphaearth,harvest_total,pre_disturbance,20,98,62,20
alphaearth,harvest_total,0-5,23,108,73,23
alphaearth,harvest_total,6-10,39,150,107,39
alphaearth,harvest_total,11-15,49,217,132,49
alphaearth,harvest_total,16-20,29,104,85,29
alphaearth,harvest_total,21+,3,7,13,3
both,fire_total,pre_disturbance,20,97,112,20
both,fire_total,0-5,23,103,121,23
both,fire_total,6-10,37,146,154,37
both,fire_total,11-15,49,216,237,49
both,fire_total,16-20,29,104,171,29
both,fire_total,21+,3,7,21,3
both,harvest_total,pre_disturbance,20,93,62,20
both,harvest_total,0-5,23,105,72,23
both,harvest_total,6-10,37,146,104,37
both,harvest_total,11-15,49,216,132,49
both,harvest_total,16-20,29,104,85,29
both,harvest_total,21+,3,7,13,3
sentinel2,fire_total,pre_disturbance,20,97,112,20
sentinel2,fire_total,0-5,23,103,121,23
sentinel2,fire_total,6-10,37,146,154,37
sentinel2,fire_total,11-15,49,216,237,49
sentinel2,fire_total,16-20,29,104,171,29
sentinel2,fire_total,21+,3,7,21,3
sentinel2,harvest_total,pre_disturbance,20,93,62,20
sentinel2,harvest_total,0-5,23,105,72,23
sentinel2,harvest_total,6-10,37,146,104,37
sentinel2,harvest_total,11-15,49,216,132,49
sentinel2,harvest_total,16-20,29,104,85,29
sentinel2,harvest_total,21+,3,7,13,3
