disturbance_type,disturbance_year,years_since_disturbance,pixel_count,area_ha,mean_NBR,median_NBR,std_NBR,p25_NBR,p75_NBR
probable_harvest,2001,23,4797,431.754377,0.537242,0.580027,0.143820,0.513573,0.626983
probable_harvest,2002,22,2123,191.109374,0.533796,0.572383,0.140824,0.517508,0.603650
probable_harvest,2003,21,833,74.956030,0.558393,0.615743,0.176231,0.553045,0.658137
probable_harvest,2004,20,4181,376.245900,0.562946,0.587801,0.113752,0.541266,0.622999
probable_harvest,2005,19,2350,211.474630,0.572699,0.583876,0.077230,0.545203,0.618902
probable_harvest,2006,18,8697,782.735486,0.503651,0.566496,0.191580,0.488226,0.613218
probable_harvest,2007,17,197,17.703004,0.458182,0.475250,0.128815,0.432308,0.525134
probable_harvest,2009,15,200,18.030945,0.434084,0.439239,0.094568,0.392866,0.478321
probable_harvest,2012,12,804,72.346358,0.335336,0.372965,0.196663,0.212727,0.489476
probable_harvest,2013,11,1929,173.632229,0.429569,0.427644,0.102646,0.353757,0.509256
probable_harvest,2014,10,283,25.429401,0.439341,0.446938,0.098537,0.371497,0.511378
probable_harvest,2016,8,114,10.215111,0.386020,0.377645,0.092842,0.325914,0.431252
probable_harvest,2017,7,405,36.480319,0.232489,0.220349,0.159654,0.103513,0.345942
probable_harvest,2018,6,790,71.121060,0.269706,0.286518,0.219159,0.071810,0.458809
probable_harvest,2023,1,366,32.951038,0.081101,0.081255,0.185524,-0.042366,0.198332
probable_harvest,2024,0,4469,402.240548,0.029540,0.013631,0.136034,-0.068307,0.111176
wildfire,2005,19,15660,1409.371461,0.514229,0.558603,0.146270,0.488525,0.605384
wildfire,2012,12,5613,505.152235,0.429139,0.435470,0.096245,0.357482,0.501948
wildfire,2023,1,17345,1561.025968,-0.035758,-0.050694,0.202077,-0.191318,0.113111
