disturbance_type,event_id,disturbance_year,observation_year,years_since_disturbance,supported_site_reference_pairs,blue_gap_median,blue_gap_mean,blue_gap_sd,dist_blue_median,ref_blue_median,green_gap_median,green_gap_mean,green_gap_sd,dist_green_median,ref_green_median,red_gap_median,red_gap_mean,red_gap_sd,dist_red_median,ref_red_median,nir_gap_median,nir_gap_mean,nir_gap_sd,dist_nir_median,ref_nir_median,swir1_gap_median,swir1_gap_mean,swir1_gap_sd,dist_swir1_median,ref_swir1_median,swir2_gap_median,swir2_gap_mean,swir2_gap_sd,dist_swir2_median,ref_swir2_median,nbr_gap_median,nbr_gap_mean,nbr_gap_sd,dist_nbr_median,ref_nbr_median,ndvi_gap_median,ndvi_gap_mean,ndvi_gap_sd,dist_ndvi_median,ref_ndvi_median
fire_total,fire_20021080304_2002,2002,1999,-3,7,0.000687,0.000081,0.003037,0.020962,0.020413,-0.002035,0.000593,0.007106,0.033695,0.030450,-0.000083,-0.000167,0.007070,0.022145,0.019037,0.031460,0.038361,0.036775,0.174550,0.202105,0.016143,0.019409,0.027329,0.076595,0.100809,0.000000,0.005628,0.014741,0.032018,0.036610,0.017871,0.007853,0.064715,0.714946,0.712479,0.042378,0.041295,0.024017,0.790252,0.828802
fire_total,fire_20021080304_2002,2002,2000,-2,5,-0.001829,-0.001876,0.002403,0.017635,0.015765,-0.005280,-0.002085,0.006547,0.037201,0.032512,-0.001952,-0.000781,0.003924,0.021141,0.019588,0.032574,0.038000,0.035312,0.181906,0.206203,0.007741,0.014569,0.028032,0.077626,0.089506,0.001210,0.005445,0.014182,0.035950,0.038123,0.041675,0.018207,0.058837,0.687004,0.707387,0.029699,0.039305,0.021450,0.785647,0.837796
fire_total,fire_20021080304_2002,2002,2001,-1,7,0.000894,0.002693,0.006365,0.018625,0.019753,-0.000165,0.001715,0.007054,0.032512,0.032691,-0.001279,0.000293,0.004421,0.022447,0.020632,0.060761,0.051199,0.031120,0.168074,0.222579,0.032876,0.029044,0.027398,0.074450,0.106996,0.008195,0.010696,0.010083,0.032306,0.042110,0.006804,-0.007381,0.052371,0.682360,0.679467,0.047659,0.038894,0.033039,0.770271,0.818743
fire_total,fire_20021080304_2002,2002,2002,0,7,0.002103,0.002842,0.004023,0.018831,0.021622,0.006724,0.006759,0.004919,0.029694,0.033750,-0.010835,-0.012100,0.007521,0.033722,0.020413,0.117535,0.126755,0.026410,0.108811,0.211510,0.004730,-0.005317,0.023998,0.104054,0.105388,-0.027844,-0.035328,0.020143,0.073171,0.045314,0.561455,0.565890,0.154667,0.125068,0.682845,0.335827,0.327381,0.092449,0.504346,0.834580
fire_total,fire_20021080304_2002,2002,2003,1,6,-0.001519,-0.001813,0.001898,0.029955,0.029282,0.001712,0.001661,0.006077,0.039428,0.040652,-0.013509,-0.013418,0.002832,0.040082,0.024248,0.092572,0.108013,0.032087,0.108055,0.219244,-0.049541,-0.048980,0.023332,0.147036,0.096361,-0.068159,-0.066892,0.014976,0.106213,0.037600,0.643669,0.668547,0.139318,0.026990,0.710936,0.329668,0.342609,0.095937,0.438980,0.778702
fire_total,fire_20021080304_2002,2002,2004,2,7,-0.011275,-0.007223,0.008762,0.032760,0.023877,-0.004648,-0.001261,0.010360,0.042302,0.039882,-0.014547,-0.014783,0.007368,0.042742,0.026243,0.074718,0.085824,0.061602,0.121997,0.207797,-0.069246,-0.060850,0.020870,0.153018,0.088200,-0.062370,-0.065874,0.019161,0.104810,0.038975,0.582613,0.624920,0.190597,0.145850,0.698077,0.203278,0.272479,0.135493,0.581540,0.797629
fire_total,fire_20021080304_2002,2002,2005,3,4,-0.003651,-0.003228,0.002882,0.028539,0.026125,-0.000364,0.000038,0.009163,0.044434,0.044159,-0.011261,-0.010618,0.005773,0.043086,0.031068,0.100135,0.100021,0.080634,0.137473,0.237608,-0.048393,-0.052133,0.022151,0.167139,0.106384,-0.065202,-0.059802,0.020148,0.112097,0.048600,0.533735,0.521329,0.225732,0.166999,0.678395,0.223937,0.231399,0.145406,0.546419,0.768415
fire_total,fire_20021080304_2002,2002,2006,4,6,-0.008216,-0.007581,0.004508,0.026772,0.018673,-0.005589,-0.002722,0.011140,0.039277,0.035255,-0.011750,-0.011158,0.006729,0.035180,0.023369,0.044441,0.060674,0.083556,0.155465,0.228753,-0.059943,-0.060516,0.045171,0.170687,0.104432,-0.056561,-0.057823,0.022618,0.102280,0.042371,0.470266,0.453614,0.159834,0.251197,0.721463,0.128360,0.159353,0.096704,0.648516,0.805451
fire_total,fire_20021080304_2002,2002,2007,5,7,-0.007081,-0.005117,0.004883,0.030752,0.025638,-0.010739,-0.005879,0.009153,0.049590,0.042082,-0.011880,-0.011175,0.005956,0.039910,0.028002,0.027143,0.033996,0.057726,0.196082,0.215855,-0.082417,-0.072301,0.028681,0.183350,0.106405,-0.063044,-0.062008,0.016435,0.101840,0.045080,0.319017,0.369651,0.123725,0.359406,0.671110,0.103921,0.121417,0.077711,0.657918,0.759431
fire_total,fire_20021080304_2002,2002,2008,6,6,-0.009378,-0.009696,0.002742,0.026731,0.016830,-0.012664,-0.009824,0.006390,0.044413,0.032767,-0.015475,-0.016236,0.004980,0.036651,0.018577,0.007507,0.023684,0.055320,0.203556,0.234308,-0.071837,-0.077135,0.028082,0.183591,0.101098,-0.059813,-0.061657,0.016472,0.105098,0.040962,0.356470,0.362438,0.120058,0.349322,0.697222,0.132661,0.155911,0.061383,0.678187,0.838237
fire_total,fire_20021080304_2002,2002,2010,8,1,-0.005088,-0.005088,,0.024400,0.019312,-0.007879,-0.007879,,0.040983,0.033104,-0.009762,-0.009762,,0.033007,0.023245,-0.009914,-0.009914,,0.225755,0.215841,-0.082830,-0.082830,,0.183185,0.100355,-0.056719,-0.056719,,0.097743,0.041024,0.284478,0.284478,,0.395739,0.680217,0.063912,0.063912,,0.744393,0.808305
fire_total,fire_20021080304_2002,2002,2011,9,6,-0.007920,-0.009043,0.007999,0.031406,0.023121,-0.010966,-0.010338,0.008754,0.052237,0.038583,-0.019731,-0.019103,0.008967,0.044110,0.024379,-0.016047,-0.001536,0.056689,0.230368,0.216900,-0.085546,-0.088211,0.033373,0.205605,0.111513,-0.064089,-0.064529,0.025406,0.115376,0.046537,0.296202,0.297790,0.140153,0.360271,0.655886,0.083856,0.119226,0.086842,0.681844,0.793216
fire_total,fire_20021080304_2002,2002,2012,10,1,-0.023513,-0.023513,,0.047500,0.023987,-0.034512,-0.034512,,0.066805,0.032293,-0.038995,-0.038995,,0.061635,0.022640,-0.083958,-0.083958,,0.292580,0.208622,-0.157025,-0.157025,,0.245720,0.088695,-0.109230,-0.109230,,0.142485,0.033255,0.380032,0.380032,,0.344994,0.725026,0.152214,0.152214,,0.651991,0.804205
fire_total,fire_20021080304_2002,2002,2013,11,7,-0.015400,-0.016637,0.005443,0.035043,0.018707,-0.020996,-0.020149,0.010977,0.057249,0.037944,-0.024022,-0.021990,0.008168,0.041959,0.020289,-0.007329,0.000904,0.056561,0.238900,0.223115,-0.074635,-0.072751,0.032827,0.191902,0.108055,-0.056196,-0.051739,0.022552,0.100355,0.048614,0.195210,0.234270,0.099920,0.469038,0.670614,0.128246,0.132133,0.064787,0.724527,0.845907
fire_total,fire_20021080304_2002,2002,2014,12,7,-0.015125,-0.015013,0.007510,0.041175,0.025376,-0.017917,-0.016520,0.011052,0.058294,0.042701,-0.019181,-0.020130,0.010592,0.044585,0.025404,-0.033468,-0.029838,0.050702,0.272147,0.229632,-0.078127,-0.083042,0.028355,0.195835,0.113624,-0.053583,-0.050926,0.016900,0.092297,0.048889,0.194683,0.196345,0.072876,0.501431,0.682466,0.064433,0.083745,0.075019,0.728547,0.802261
fire_total,fire_20021080304_2002,2002,2015,13,7,-0.014232,-0.014100,0.004477,0.035785,0.022448,-0.014177,-0.016265,0.005562,0.051364,0.036830,-0.014630,-0.014304,0.004502,0.042261,0.026902,-0.054106,-0.034923,0.044000,0.259498,0.212418,-0.058808,-0.064729,0.019807,0.173464,0.095625,-0.042736,-0.041619,0.010077,0.087512,0.041574,0.168757,0.167873,0.048867,0.502408,0.677888,0.056890,0.059708,0.051177,0.731519,0.792875
fire_total,fire_20021080304_2002,2002,2016,14,7,-0.015565,-0.015781,0.005808,0.037215,0.021403,-0.027060,-0.025023,0.008257,0.064055,0.037407,-0.019139,-0.019874,0.006633,0.042247,0.023025,-0.093720,-0.072233,0.048057,0.289747,0.222043,-0.078705,-0.071349,0.019411,0.180284,0.107134,-0.041910,-0.042197,0.011873,0.090400,0.048490,0.102562,0.117127,0.045206,0.553968,0.666105,0.051406,0.063382,0.044776,0.761148,0.813253
fire_total,fire_20021080304_2002,2002,2017,15,6,-0.012835,-0.012029,0.004647,0.033461,0.020358,-0.020467,-0.019834,0.007251,0.062048,0.040364,-0.019677,-0.018100,0.005171,0.045396,0.025871,-0.060823,-0.065847,0.062480,0.274857,0.216192,-0.076574,-0.074701,0.026732,0.168692,0.097673,-0.044996,-0.043326,0.013135,0.084212,0.040701,0.137017,0.119230,0.032921,0.540042,0.675948,0.048099,0.042648,0.069112,0.728946,0.784390
fire_total,fire_20021080304_2002,2002,2018,16,6,-0.008670,-0.007925,0.005702,0.032595,0.024867,-0.018322,-0.019149,0.006894,0.056781,0.038459,-0.012582,-0.012286,0.002595,0.036294,0.025947,-0.077881,-0.084187,0.057446,0.292346,0.225191,-0.065546,-0.066538,0.030797,0.171937,0.108317,-0.030497,-0.034430,0.013019,0.079579,0.047747,0.051028,0.050581,0.045155,0.570869,0.642363,0.009657,-0.012984,0.085615,0.785601,0.794957
fire_total,fire_20021080304_2002,2002,2019,17,7,-0.014176,-0.014296,0.004386,0.034905,0.020921,-0.023843,-0.023385,0.007891,0.058473,0.036197,-0.019607,-0.017952,0.005768,0.039800,0.023218,-0.074992,-0.100638,0.064587,0.300335,0.225343,-0.072601,-0.062460,0.026766,0.160140,0.109403,-0.034443,-0.030757,0.011303,0.073694,0.047349,0.028933,0.026583,0.073503,0.595873,0.639247,0.032997,0.013631,0.084238,0.771123,0.805958
fire_total,fire_20021080304_2002,2002,2020,18,7,-0.008828,-0.010016,0.004304,0.034259,0.026957,-0.020171,-0.021251,0.008915,0.056657,0.038040,-0.014726,-0.014802,0.005364,0.038892,0.023300,-0.107854,-0.113101,0.069947,0.310276,0.210657,-0.059400,-0.061144,0.032437,0.170604,0.109155,-0.026001,-0.026691,0.014194,0.074024,0.051735,-0.006814,-0.023004,0.078078,0.608012,0.615583,0.008326,-0.021428,0.090420,0.789206,0.792874
fire_total,fire_20021080304_2002,2002,2021,19,7,-0.009749,-0.011228,0.003405,0.033942,0.022021,-0.023224,-0.021566,0.007208,0.058830,0.035524,-0.016198,-0.015153,0.003887,0.040240,0.024042,-0.104445,-0.091683,0.067053,0.283670,0.206340,-0.054024,-0.056825,0.027253,0.147077,0.100836,-0.025107,-0.027449,0.009976,0.069995,0.044832,0.045254,0.027757,0.054684,0.607649,0.638663,0.021983,0.001840,0.090714,0.764483,0.794280
fire_total,fire_20021080304_2002,2002,2022,20,7,-0.006984,-0.008260,0.005570,0.029350,0.022172,-0.024997,-0.020354,0.010120,0.057208,0.036225,-0.011371,-0.011736,0.005999,0.035180,0.023932,-0.128865,-0.108124,0.069868,0.307953,0.208375,-0.055935,-0.047471,0.027414,0.157115,0.102555,-0.022853,-0.019708,0.009412,0.066063,0.045630,-0.008324,-0.031335,0.092543,0.657105,0.641742,0.007736,-0.018297,0.102031,0.799401,0.807137
fire_total,fire_20021080304_2002,2002,2023,21,7,-0.006448,-0.006020,0.003125,0.030381,0.024840,-0.017985,-0.015058,0.006964,0.052010,0.037160,-0.010147,-0.007344,0.005531,0.032691,0.025390,-0.112324,-0.089519,0.043759,0.272863,0.197581,-0.032326,-0.030659,0.026051,0.131623,0.109127,-0.013407,-0.012540,0.012155,0.061608,0.048270,-0.030213,-0.049142,0.089002,0.630563,0.628819,-0.006501,-0.020369,0.060367,0.789231,0.786192
fire_total,fire_20021080304_2002,2002,2024,22,7,-0.004249,-0.004308,0.004062,0.032183,0.027315,-0.015125,-0.012493,0.007230,0.055585,0.043018,-0.008717,-0.007166,0.004686,0.038535,0.029721,-0.068241,-0.092710,0.041826,0.280975,0.196192,-0.032711,-0.022521,0.030188,0.149773,0.124596,-0.015235,-0.008395,0.014536,0.069032,0.056836,-0.116425,-0.094098,0.041141,0.630096,0.534758,-0.041829,-0.039138,0.032314,0.757259,0.714291
fire_total,fire_20021080304_2002,2002,2025,23,7,-0.006215,-0.005567,0.006727,0.031688,0.027851,-0.014602,-0.015738,0.010651,0.062982,0.046648,-0.007452,-0.011607,0.008983,0.042935,0.029020,-0.084618,-0.062486,0.047083,0.275448,0.226085,-0.029562,-0.021279,0.021836,0.136435,0.112125,-0.013544,-0.006631,0.013316,0.064715,0.053605,-0.045085,-0.038020,0.041508,0.659914,0.622638,0.022051,0.016869,0.066384,0.722926,0.760639
fire_total,fire_20031080204_2003,2003,2000,-3,2,-0.010457,-0.010457,0.006310,0.041140,0.030683,-0.014348,-0.014348,0.008663,0.064014,0.049666,-0.012761,-0.012761,0.012348,0.051096,0.038335,-0.083875,-0.083875,0.044802,0.290786,0.206910,-0.051040,-0.051040,0.001109,0.156043,0.105002,-0.022907,-0.022907,0.004803,0.072903,0.049996,0.015875,0.015875,0.036313,0.597398,0.613274,-0.012869,-0.012869,0.031393,0.703426,0.690558
fire_total,fire_20031080204_2003,2003,2001,-2,4,-0.014245,-0.011973,0.007304,0.033550,0.019305,-0.016637,-0.011801,0.015573,0.051948,0.035352,-0.021560,-0.018593,0.017739,0.045005,0.022825,-0.022062,-0.011770,0.104011,0.210665,0.196007,-0.071012,-0.044337,0.064925,0.172426,0.110970,-0.044619,-0.036115,0.031986,0.090524,0.048985,0.181478,0.219352,0.131391,0.431352,0.605526,0.125128,0.139066,0.105662,0.638666,0.768620
fire_total,fire_20031080204_2003,2003,2002,-1,4,0.001031,-0.001709,0.007877,0.020303,0.021340,0.007680,0.003025,0.017911,0.032079,0.039690,0.001443,-0.003046,0.013537,0.025149,0.026627,0.055674,0.031515,0.124395,0.141151,0.200578,0.016878,0.006717,0.062567,0.083340,0.104328,0.003087,-0.004314,0.035396,0.041566,0.048359,0.123620,0.117885,0.062863,0.511597,0.618216,0.075143,0.113191,0.129801,0.698409,0.770898
fire_total,fire_20031080204_2003,2003,2003,0,1,-0.011330,-0.011330,,0.033585,0.022255,-0.015551,-0.015551,,0.053660,0.038109,-0.024089,-0.024089,,0.048847,0.024758,0.032450,0.032450,,0.172625,0.205075,-0.145736,-0.145736,,0.236727,0.090991,-0.098615,-0.098615,,0.141468,0.042853,0.558129,0.558129,,0.090883,0.649012,0.303562,0.303562,,0.470858,0.774420
fire_total,fire_20031080204_2003,2003,2004,1,2,-0.018968,-0.018968,0.010899,0.044461,0.025493,-0.028854,-0.028854,0.017024,0.073034,0.044179,-0.037702,-0.037702,0.016840,0.065375,0.027673,-0.079392,-0.079392,0.061720,0.308798,0.229406,-0.130804,-0.130804,0.024540,0.242737,0.111933,-0.082700,-0.082700,0.011852,0.134565,0.051866,0.224541,0.224541,0.115078,0.405890,0.630432,0.125348,0.125348,0.028700,0.652616,0.777964
fire_total,fire_20031080204_2003,2003,2005,2,2,-0.026105,-0.026105,0.015430,0.052732,0.026627,-0.031949,-0.031949,0.017005,0.076905,0.044956,-0.037771,-0.037771,0.018260,0.073886,0.036115,-0.096333,-0.096333,0.068019,0.286021,0.189688,-0.120635,-0.120635,0.009480,0.229832,0.109197,-0.077214,-0.077214,0.007925,0.130502,0.053289,0.221224,0.221224,0.141973,0.360069,0.581293,0.120764,0.120764,0.015318,0.600583,0.721348
fire_total,fire_20031080204_2003,2003,2006,3,4,-0.011220,-0.012506,0.014355,0.033344,0.024022,-0.015180,-0.016111,0.017298,0.057029,0.047198,-0.022564,-0.020044,0.011489,0.052251,0.034307,-0.059991,-0.051287,0.075811,0.273268,0.218991,-0.080396,-0.072713,0.044105,0.217155,0.121998,-0.043258,-0.045331,0.025018,0.110400,0.058122,0.149044,0.148493,0.116410,0.418917,0.567249,0.078993,0.082397,0.061629,0.644184,0.728019
fire_total,fire_20031080204_2003,2003,2007,4,2,-0.008222,-0.008222,0.004278,0.031274,0.023053,-0.009165,-0.009165,0.003121,0.053715,0.044550,-0.019436,-0.019436,0.001041,0.050883,0.031447,-0.016926,-0.016926,0.032397,0.215305,0.198379,-0.062755,-0.062755,0.069537,0.166162,0.103407,-0.057634,-0.057634,0.033708,0.103339,0.045706,0.239772,0.239772,0.029537,0.387993,0.627765,0.118078,0.118078,0.051130,0.616528,0.734605
fire_total,fire_20031080204_2003,2003,2008,5,3,-0.001141,-0.002301,0.005854,0.028305,0.027164,0.000220,-0.001976,0.006968,0.043540,0.043760,-0.015469,-0.013237,0.011541,0.041340,0.025871,-0.045045,-0.034746,0.040062,0.220970,0.209695,-0.037744,-0.049097,0.034611,0.166328,0.096450,-0.016047,-0.025694,0.021016,0.075165,0.041533,0.118102,0.084057,0.103693,0.569317,0.624193,0.118167,0.063328,0.101828,0.662491,0.780658
fire_total,fire_20031080204_2003,2003,2009,6,1,-0.023650,-0.023650,,0.067891,0.044241,-0.026867,-0.026867,,0.100932,0.074065,-0.040741,-0.040741,,0.090606,0.049865,-0.186161,-0.186161,,0.420716,0.234555,-0.089746,-0.089746,,0.214315,0.124569,-0.054326,-0.054326,,0.112359,0.058033,0.024097,0.024097,,0.577308,0.601405,-0.005151,-0.005151,,0.652867,0.647716
fire_total,fire_20031080204_2003,2003,2010,7,2,-0.014273,-0.014273,0.004006,0.035015,0.020742,-0.020845,-0.020845,0.002140,0.061208,0.040363,-0.026263,-0.026263,0.005794,0.057222,0.030958,-0.107244,-0.107244,0.005474,0.301772,0.194528,-0.077233,-0.077233,0.009509,0.190032,0.112799,-0.053392,-0.053392,0.019854,0.100561,0.047170,0.102864,0.102864,0.066565,0.506852,0.609716,0.033534,0.033534,0.017968,0.689832,0.723366
fire_total,fire_20031080204_2003,2003,2011,8,2,-0.009900,-0.009900,0.009548,0.039229,0.029330,-0.011406,-0.011406,0.014225,0.058445,0.047039,-0.014657,-0.014657,0.013592,0.048139,0.033482,-0.072064,-0.072064,0.012075,0.279758,0.207695,-0.043354,-0.043354,0.022634,0.156490,0.113135,-0.024427,-0.024427,0.018638,0.077509,0.053083,0.046872,0.046872,0.103822,0.554142,0.601013,0.024469,0.024469,0.058495,0.703121,0.727590
