fire_event_id,harvest_event_id,fire_year,harvest_year,age_difference,temporal_quality,centroid_distance_m,fire_usable_area_ha,harvest_usable_area_ha,pair_id,fire_supported_event_years,harvest_supported_event_years,fire_has_reference_support,harvest_has_reference_support,support_class
fire_20051080641_2005,harvest_2005_00977,2005,2005,0,exact_year,23.254397,0.090000,39.773898,event_pair_001,17,23,True,True,both_fire_and_harvest_supported
fire_20161080226_2016,harvest_2016_00026,2016,2016,0,exact_year,124.462435,0.090000,9.790758,event_pair_002,11,13,True,True,both_fire_and_harvest_supported
fire_20071080134_2007,harvest_2007_00234,2007,2007,0,exact_year,167.252389,5.580000,2.244229,event_pair_003,5,17,True,True,both_fire_and_harvest_supported
fire_20121080266_2012,harvest_2012_00345,2012,2012,0,exact_year,244.288857,2.430000,3.288481,event_pair_004,4,10,True,True,both_fire_and_harvest_supported
fire_20051080768_2005,harvest_2005_00747,2005,2005,0,exact_year,290.929888,75.960000,0.000219,event_pair_005,3,11,True,True,both_fire_and_harvest_supported
fire_20181080368_2018,harvest_2018_00952,2018,2018,0,exact_year,333.255207,1829.340000,6.918831,event_pair_006,5,7,True,True,both_fire_and_harvest_supported
fire_20071080492_2007,harvest_2007_00254,2007,2007,0,exact_year,418.146419,113.490000,0.000594,event_pair_007,18,13,True,True,both_fire_and_harvest_supported
fire_20051080797_2005,harvest_2005_00098,2005,2005,0,exact_year,475.551507,127.440000,0.942212,event_pair_008,24,16,True,True,both_fire_and_harvest_supported
fire_20141080107_2014,harvest_2014_00266,2014,2014,0,exact_year,627.785225,0.270000,53.501921,event_pair_009,11,15,True,True,both_fire_and_harvest_supported
fire_20101080268_2010,harvest_2010_00310,2010,2010,0,exact_year,637.666366,3.330000,7.318911,event_pair_010,3,17,True,True,both_fire_and_harvest_supported
fire_20121080119_2012,harvest_2012_00501,2012,2012,0,exact_year,663.112199,9.000000,0.000077,event_pair_011,16,14,True,True,both_fire_and_harvest_supported
fire_20211080400_2021,harvest_2021_00772,2021,2021,0,exact_year,671.550079,21.150000,27.758042,event_pair_012,8,8,True,True,both_fire_and_harvest_supported
fire_20101080190_2010,harvest_2010_00404,2010,2010,0,exact_year,747.204037,0.450000,3.157029,event_pair_013,12,14,True,True,both_fire_and_harvest_supported
fire_20051080583_2005,harvest_2005_00303,2005,2005,0,exact_year,766.329637,335.790000,0.025492,event_pair_014,17,15,True,True,both_fire_and_harvest_supported
fire_20061080486_2006,harvest_2006_00632,2006,2006,0,exact_year,769.942435,121.050000,55.852336,event_pair_015,22,21,True,True,both_fire_and_harvest_supported
fire_20051080691_2005,harvest_2005_00705,2005,2005,0,exact_year,806.371603,97.920000,94.416013,event_pair_016,18,17,True,True,both_fire_and_harvest_supported
fire_20231080297_2023,harvest_2023_00310,2023,2023,0,exact_year,859.972278,950.580000,5.475406,event_pair_017,3,3,True,True,both_fire_and_harvest_supported
fire_20091080336_2009,harvest_2009_00760,2009,2009,0,exact_year,936.799965,54.630000,5.059416,event_pair_018,18,16,True,True,both_fire_and_harvest_supported
fire_20121080234_2012,harvest_2012_00062,2012,2012,0,exact_year,946.920933,0.180000,8.073385,event_pair_019,12,12,True,True,both_fire_and_harvest_supported
fire_20051080616_2005,harvest_2005_00112,2005,2005,0,exact_year,1263.313263,26.640000,0.019630,event_pair_020,17,18,True,True,both_fire_and_harvest_supported
fire_20121080233_2012,harvest_2012_00681,2012,2012,0,exact_year,1669.573113,3.330000,0.627693,event_pair_021,9,11,True,True,both_fire_and_harvest_supported
fire_20121080132_2012,harvest_2012_00017,2012,2012,0,exact_year,2132.307375,2.880000,1.709328,event_pair_022,16,14,True,True,both_fire_and_harvest_supported
fire_20231080245_2023,harvest_2023_00217,2023,2023,0,exact_year,2408.816260,1201.500000,1.921350,event_pair_023,4,4,True,True,both_fire_and_harvest_supported
fire_20161080195_2016,harvest_2016_00016,2016,2016,0,exact_year,2648.617085,0.450000,2.848483,event_pair_024,10,11,True,True,both_fire_and_harvest_supported
fire_20051080731_2005,harvest_2005_00276,2005,2005,0,exact_year,2895.514540,7.110000,5.362613,event_pair_025,20,15,True,True,both_fire_and_harvest_supported
fire_20231080429_2023,harvest_2023_00408,2023,2023,0,exact_year,3129.026904,0.720000,8.746968,event_pair_026,3,5,True,True,both_fire_and_harvest_supported
fire_20231080274_2023,harvest_2023_00978,2023,2023,0,exact_year,3498.060753,4874.400000,8.384421,event_pair_027,3,6,True,True,both_fire_and_harvest_supported
fire_20101080264_2010,harvest_2010_01132,2010,2010,0,exact_year,3688.685327,0.450000,6.984364,event_pair_028,13,16,True,True,both_fire_and_harvest_supported
fire_20211080077_2021,harvest_2021_00937,2021,2021,0,exact_year,3706.840689,0.090000,11.989231,event_pair_029,7,8,True,True,both_fire_and_harvest_supported
fire_20071080254_2007,harvest_2007_00066,2007,2007,0,exact_year,3779.333514,3256.830000,1.763728,event_pair_030,16,10,True,True,both_fire_and_harvest_supported
fire_20181080480_2018,harvest_2018_01286,2018,2018,0,exact_year,4119.283869,7.470000,24.843576,event_pair_031,11,11,True,True,both_fire_and_harvest_supported
