source,event_id,site_id,disturbance_type,disturbance_year,years_since_disturbance,age_bin,polygon_count,area_ha,next_major_disturbance_year,censor_year
fire,fire_20021080304_2002,fire_20021080304_2002,fire_total,2002,22,21-23,1,19.24423044506069,<NA>,<NA>
fire,fire_20031080204_2003,fire_20031080204_2003,fire_total,2003,21,21-23,1,23.78810330498679,<NA>,<NA>
fire,fire_20031080377_2003,fire_20031080377_2003,fire_total,2003,21,21-23,3,21.260097880000004,<NA>,<NA>
fire,fire_20051080583_2005,fire_20051080583_2005,fire_total,2005,19,16-20,82,3019.0945178151437,2021,2021
fire,fire_20051080616_2005,fire_20051080616_2005,fire_total,2005,19,16-20,1,39.79132976499294,2021,2021
fire,fire_20051080641_2005,fire_20051080641_2005,fire_total,2005,19,16-20,1,15.529133135041079,<NA>,<NA>
fire,fire_20051080691_2005,fire_20051080691_2005,fire_total,2005,19,16-20,3,322.619987989954,<NA>,<NA>
fire,fire_20051080714_2005,fire_20051080714_2005,fire_total,2005,19,16-20,1,27.92292739994989,<NA>,<NA>
fire,fire_20051080731_2005,fire_20051080731_2005,fire_total,2005,19,16-20,1,14.05002817997924,<NA>,<NA>
fire,fire_20051080759_2005,fire_20051080759_2005,fire_total,2005,19,16-20,2,35.31728446491961,<NA>,<NA>
fire,fire_20051080768_2005,fire_20051080768_2005,fire_total,2005,19,16-20,1,138.5260314999822,2006,2006
fire,fire_20051080797_2005,fire_20051080797_2005,fire_total,2005,19,16-20,1,191.13994534990465,<NA>,<NA>
fire,fire_20061080486_2006,fire_20061080486_2006,fire_total,2006,18,16-20,4,660.4263497397905,<NA>,<NA>
fire,fire_20061080494_2006,fire_20061080494_2006,fire_total,2006,18,16-20,1,12.398682195009972,<NA>,<NA>
fire,fire_20071080134_2007,fire_20071080134_2007,fire_total,2007,17,16-20,1,15.268292955031551,2011,2011
fire,fire_20071080193_2007,fire_20071080193_2007,fire_total,2007,17,16-20,81,1215.7851260603416,<NA>,<NA>
fire,fire_20071080254_2007,fire_20071080254_2007,fire_total,2007,17,16-20,171,12522.486878528991,<NA>,<NA>
fire,fire_20071080325_2007,fire_20071080325_2007,fire_total,2007,17,16-20,1,11.535290829992528,<NA>,<NA>
fire,fire_20071080460_2007,fire_20071080460_2007,fire_total,2007,17,16-20,1,1.8527612799913502,<NA>,<NA>
fire,fire_20071080490_2007,fire_20071080490_2007,fire_total,2007,17,16-20,1,1.872411049998847,<NA>,<NA>
fire,fire_20071080492_2007,fire_20071080492_2007,fire_total,2007,17,16-20,2,301.1826701001012,<NA>,<NA>
fire,fire_20071080494_2007,fire_20071080494_2007,fire_total,2007,17,16-20,1,5.8031843200072,<NA>,<NA>
fire,fire_20071080498_2007,fire_20071080498_2007,fire_total,2007,17,16-20,2,15.386357819976055,2020,2020
fire,fire_20071080710_2007,fire_20071080710_2007,fire_total,2007,17,16-20,1,8.03363140997055,<NA>,<NA>
fire,fire_20082000011_2008,fire_20082000011_2008,fire_total,2008,16,16-20,1,5.266885030036423,<NA>,<NA>
fire,fire_20091080313_2009,fire_20091080313_2009,fire_total,2009,15,11-15,62,273.4927848603145,<NA>,<NA>
fire,fire_20091080315_2009,fire_20091080315_2009,fire_total,2009,15,11-15,3,18.838528089917517,<NA>,<NA>
fire,fire_20091080336_2009,fire_20091080336_2009,fire_total,2009,15,11-15,1,130.1939304100127,<NA>,<NA>
fire,fire_20091080356_2009,fire_20091080356_2009,fire_total,2009,15,11-15,1,14.989326975014485,<NA>,<NA>
fire,fire_20101080190_2010,fire_20101080190_2010,fire_total,2010,14,11-15,1,2.134533014981995,<NA>,<NA>
fire,fire_20101080233_2010,fire_20101080233_2010,fire_total,2010,14,11-15,3,8.587296235070601,<NA>,<NA>
fire,fire_20101080253_2010,fire_20101080253_2010,fire_total,2010,14,11-15,1436,9094.901701407303,<NA>,<NA>
fire,fire_20101080264_2010,fire_20101080264_2010,fire_total,2010,14,11-15,1,3.0119807699946994,<NA>,<NA>
fire,fire_20101080268_2010,fire_20101080268_2010,fire_total,2010,14,11-15,1,10.489041350024788,2011,2011
fire,fire_20101080272_2010,fire_20101080272_2010,fire_total,2010,14,11-15,1,17.336993074938658,<NA>,<NA>
fire,fire_20101080280_2010,fire_20101080280_2010,fire_total,2010,14,11-15,2,4.9559516100211605,2022,2022
fire,fire_20101080282_2010,fire_20101080282_2010,fire_total,2010,14,11-15,1,126.97275925005104,<NA>,<NA>
fire,fire_20101080326_2010,fire_20101080326_2010,fire_total,2010,14,11-15,1,4.793350269996723,<NA>,<NA>
fire,fire_20101080421_2010,fire_20101080421_2010,fire_total,2010,14,11-15,1,19.874489874974675,<NA>,<NA>
fire,fire_20111080279_2011,fire_20111080279_2011,fire_total,2011,13,11-15,1,3.826021240002063,<NA>,<NA>
fire,fire_20111080283_2011,fire_20111080283_2011,fire_total,2011,13,11-15,1,3.7109045200043247,<NA>,<NA>
fire,fire_20121080119_2012,fire_20121080119_2012,fire_total,2012,12,11-15,1,31.383395994912128,<NA>,<NA>
fire,fire_20121080132_2012,fire_20121080132_2012,fire_total,2012,12,11-15,1,5.7435203299917585,<NA>,<NA>
fire,fire_20121080221_2012,fire_20121080221_2012,fire_total,2012,12,11-15,1,90.83047177514476,2021,2021
fire,fire_20121080233_2012,fire_20121080233_2012,fire_total,2012,12,11-15,2,8.02653783001517,2021,2021
fire,fire_20121080234_2012,fire_20121080234_2012,fire_total,2012,12,11-15,1,1.1282593600005955,<NA>,<NA>
fire,fire_20121080258_2012,fire_20121080258_2012,fire_total,2012,12,11-15,3,147.46562935490724,<NA>,<NA>
fire,fire_20121080261_2012,fire_20121080261_2012,fire_total,2012,12,11-15,1,395.2151483397972,<NA>,<NA>
fire,fire_20121080264_2012,fire_20121080264_2012,fire_total,2012,12,11-15,1,6.537660695005405,<NA>,<NA>
fire,fire_20121080266_2012,fire_20121080266_2012,fire_total,2012,12,11-15,1,24.798453314952916,2019,2019
fire,fire_20121080337_2012,fire_20121080337_2012,fire_total,2012,12,11-15,396,1432.6228790406024,<NA>,<NA>
fire,fire_20131080240_2013,fire_20131080240_2013,fire_total,2013,11,11-15,1,23.861176930037818,<NA>,<NA>
fire,fire_20141080107_2014,fire_20141080107_2014,fire_total,2014,10,6-10,1,5.670747204937393,2023,2023
fire,fire_20161080195_2016,fire_20161080195_2016,fire_total,2016,8,6-10,1,3.0788683249863866,<NA>,<NA>
fire,fire_20161080226_2016,fire_20161080226_2016,fire_total,2016,8,6-10,1,3.94648987998042,<NA>,<NA>
fire,fire_20161080308_2016,fire_20161080308_2016,fire_total,2016,8,6-10,1,42.7443202799707,<NA>,<NA>
