source,event_id,site_id,disturbance_type,disturbance_year,years_since_disturbance,age_bin,polygon_count,area_ha,grouping_method,source_site_ids,source_polygon_ids,replanted_after_harvest,site_preparation_after_harvest,thinning_after_harvest,second_harvest,planting_year,site_preparation_year,thinning_year,second_harvest_year,next_major_disturbance_year,censor_year
forestry_intervention,harvest_2002_01683,harvest_2002_01683,harvest_total,2002,22,21-23,1,10.795693750737126,provisional contiguous/intersecting harvest_total polygons by year,"-634162,38+682459,58",forestrypoly_1160318,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2003_00176,harvest_2003_00176,harvest_total,2003,21,21-23,1,251.48868286179663,provisional contiguous/intersecting harvest_total polygons by year,"-543780,03+613245,02",forestrypoly_929560,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2003_00197,harvest_2003_00197,harvest_total,2003,21,21-23,1,1.3559990490548037,provisional contiguous/intersecting harvest_total polygons by year,"-708353,92+595879,82",forestrypoly_963517,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00034,harvest_2005_00034,harvest_total,2005,19,16-20,1,0.8370369876358583,provisional contiguous/intersecting harvest_total polygons by year,"-516654,93+615726,81",forestrypoly_1953599,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00098,harvest_2005_00098,harvest_total,2005,19,16-20,1,7.431956776972349,provisional contiguous/intersecting harvest_total polygons by year,"-532456,17+548336,24",forestrypoly_1957474,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00112,harvest_2005_00112,harvest_total,2005,19,16-20,1,0.6556044580601346,provisional contiguous/intersecting harvest_total polygons by year,"-637597,59+500130,26",forestrypoly_1955348,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00276,harvest_2005_00276,harvest_total,2005,19,16-20,1,8.884546722686123,provisional contiguous/intersecting harvest_total polygons by year,"-547051,33+538940,15",forestrypoly_1958021,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00303,harvest_2005_00303,harvest_total,2005,19,16-20,1,1.0000329613034875,provisional contiguous/intersecting harvest_total polygons by year,"-620920,81+572700,84",forestrypoly_1961578,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00365,harvest_2005_00365,harvest_total,2005,19,16-20,1,9.769632405749634,provisional contiguous/intersecting harvest_total polygons by year,"-592336,05+651873,81",forestrypoly_1964369,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00705,harvest_2005_00705,harvest_total,2005,19,16-20,1,140.96557446427167,provisional contiguous/intersecting harvest_total polygons by year,"-578451,64+616758,70",forestrypoly_1953627,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00747,harvest_2005_00747,harvest_total,2005,19,16-20,1,0.7980680431628259,provisional contiguous/intersecting harvest_total polygons by year,"-685074,57+613046,81",forestrypoly_1966559,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2005_00977,harvest_2005_00977,harvest_total,2005,19,16-20,1,51.616636165469835,provisional contiguous/intersecting harvest_total polygons by year,"-595455,86+653270,07",forestrypoly_1969138,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2006_00632,harvest_2006_00632,harvest_total,2006,18,16-20,1,97.61934342875726,provisional contiguous/intersecting harvest_total polygons by year,"-589481,24+652882,36",forestrypoly_1743305,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2006_01333,harvest_2006_01333,harvest_total,2006,18,16-20,1,2.8736847871186013,provisional contiguous/intersecting harvest_total polygons by year,"-666056,65+662039,73",forestrypoly_1749072,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00004,harvest_2007_00004,harvest_total,2007,17,16-20,1,9.184880420274611,provisional contiguous/intersecting harvest_total polygons by year,"-596151,32+692724,63",forestrypoly_743969,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00066,harvest_2007_00066,harvest_total,2007,17,16-20,1,6.568655630352453,provisional contiguous/intersecting harvest_total polygons by year,"-593697,24+507033,33",forestrypoly_773189,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00174,harvest_2007_00174,harvest_total,2007,17,16-20,1,26.32365382888253,provisional contiguous/intersecting harvest_total polygons by year,"-577143,17+508981,95",forestrypoly_777429,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00223,harvest_2007_00223,harvest_total,2007,17,16-20,1,5.2512049026860526,provisional contiguous/intersecting harvest_total polygons by year,"-655995,39+568472,62",forestrypoly_750610,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00227,harvest_2007_00227,harvest_total,2007,17,16-20,1,6.954446446364177,provisional contiguous/intersecting harvest_total polygons by year,"-652727,64+563320,90",forestrypoly_743851,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00234,harvest_2007_00234,harvest_total,2007,17,16-20,1,4.911155395857338,provisional contiguous/intersecting harvest_total polygons by year,"-679410,56+570318,35",forestrypoly_743852,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00254,harvest_2007_00254,harvest_total,2007,17,16-20,1,1.7002756879426721,provisional contiguous/intersecting harvest_total polygons by year,"-570760,22+622807,03",forestrypoly_773024,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00307,harvest_2007_00307,harvest_total,2007,17,16-20,1,7.176351241795343,provisional contiguous/intersecting harvest_total polygons by year,"-694358,05+546436,08",forestrypoly_755443,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00354,harvest_2007_00354,harvest_total,2007,17,16-20,1,37.922596137068155,provisional contiguous/intersecting harvest_total polygons by year,"-565823,34+589830,55",forestrypoly_776826,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2007_00357,harvest_2007_00357,harvest_total,2007,17,16-20,1,10.998939300422295,provisional contiguous/intersecting harvest_total polygons by year,"-568525,09+594224,02",forestrypoly_777359,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2008_00324,harvest_2008_00324,harvest_total,2008,16,16-20,1,1.3826598617612884,provisional contiguous/intersecting harvest_total polygons by year,"-557814,08+540193,95",forestrypoly_1450961,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2009_00256,harvest_2009_00256,harvest_total,2009,15,11-15,1,5.355138046277255,provisional contiguous/intersecting harvest_total polygons by year,"-538923,48+614296,02",forestrypoly_2048580,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
forestry_intervention,harvest_2009_00418,harvest_2009_00418,harvest_total,2009,15,11-15,1,3.826089473540305,provisional contiguous/intersecting harvest_total polygons by year,"-554873,60+547721,42",forestrypoly_2081397,False,False,False,False,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
